cf,posts
Te,"Powerful Xx owns up to mistakes and doesn’t take failure personally (and thus doesn’t feel bad about it), and failure is used as a springboard for improvement so that a person is judged not by their failure but rather how they come back from it to emerge the victor. Powerful Xx knows that a sense of power and mastery comes from observing bad results and using a different approach when necessary, redoubling efforts to tackle a problem, again and again, until it is resolved."
Te,"Take a more assertive, problem-solving approach to life instead of running from difficulty. Brainstorm ideas to solve a problem instead of complaining or panicking. Figure out the exact source/cause of the problem and tackle it directly. Improve your critical thinking skills so that you can break down problems/obstacles quickly (lots of courses/books out there about this topic). Reflect on your past mistakes and work on improving any personal flaws, shortcomings, or weaknesses that produced them. Use your talents and skills in tangible and productive ways to feel more useful and confident. Develop a sense of purpose by doing work that challenges you to be better and sharper. Nurture a responsible attitude by using your knowledge/skills to solve problems for people in need of help. Take on leadership roles to regularly exercise your knowledge and expertise. Avoid self-pity or self-flagellation when you fail and, instead, think on how to do better the next time around."
Fi,"Without being decisive and competent, it is very difficult to feel confident let alone accomplish anything, so you will be more prone to suffering from low self-esteem or passively accepting your bad circumstances. People with underdeveloped Xx don’t have a good understanding of the rules and standards that must be followed in order to be successful, or worse, they don’t want to follow those rules out of spite or a misguided sense of rebellion."
Fi,"Without caring about results and outcomes, you are more likely to flail about willy-nilly with no idea what you are doing and why. People with underdeveloped Xx have trouble making decisions, finding ambition, and setting goals because they don’t know what they really want to accomplish and/or what they want to accomplish is unrealistic/unreasonable."
Fi,"Without a sense of responsibility and good work ethic, it is hard to persist and get back up when you fall down. People with underdeveloped Xx are more likely to shirk responsibility or rationalize away their laziness, making excuses for failures instead of working hard to improve their performance with each step."
Fe,"destructive Xx expression: I exploit people’s feelings and vulnerabilities for my own self-centered benefit and/or express myself with little regard for the social impact."
Fe,"unhealthy Xx expression: I am never to blame for my problems because it is always someone/something else getting in my way."
Fe,"immature Xx expression: I am insecure and oversensitive because I cannot draw appropriate emotional boundaries and only understand others by how they make me feel or whether they validate me."
Fe,"healthy Xx expression: I treat people objectively (separate from myself despite my own emotional investment) and know how to make a positive contribution such that every relationship is mutually beneficial."
Fe,"optimal Xx expression: I show genuine compassion and feel confident in my ability to foster a sense of equality, warmth, connection, and belonging among people."
Fe,"Powerful Xx understands that people connect through sharing their lives, willing to make time for others, willing to go the extra mile to show that they care. Powerful Xx knows that communication is a great way to learn and exchange good ideas, so it often tries to pool knowledge and use collective effort to achieve more than one person could on their own. Love is action and Xx knows to express it so that people feel it and come closer together."
Fe,"Realize that everyone has their own life going on, and their needs and desires are just as important to them as yours are to you, so take more interest in them and get involved in their life instead of expecting them to come to you. Use small acts of caring to build a stronger and more intimate relationship over time (e.g. check in with people regularly, do favors, offer help, spend quality time together, have good conversations, ask for help or companionship). Be more vulnerable in expressing yourself so that people know the real you and they’ll be more willing to share in return. Be more generous with your time and resources so that people know you value them and have their back when they need support. Express gratitude and appreciation for people so that they feel seen, heard, validated, and valued. Reciprocate kindness so that people feel confident that the connection is mutual and thus become more willing to invest in you in return. Work on your people skills, communication skills, and conflict resolution skills so that you have positive social interactions (then people will want to spend time with you). Realize that communication is more than just “exchanging facts” or “proving a point” and you might slowly start to realize the joy of having company."
Fe,"Powerful Xx has a very strong awareness of other people and how they feel as well as what people have in common, trying to act in everyone’s best interests to reinforce our shared humanity. Powerful Xx pays attention to people and tries to bring them into the fold in order to reduce conflict or discord, it understands that people are happier when they feel a sense of acceptance and contribute to something larger than the individual. When individuals are unhappy, it affects the quality of the group, so Xx works to achieve the right balance between the two."
Fe,"Pay more attention to people and how they feel because you might be in a good position to help or cheer them up. Working only for yourself leads to boredom and loneliness, so ask yourself how to contribute your skills and talents to make society a better place, especially for those who have less than you. Learn to put people at ease in social situations and you will also feel more comfortable socializing (e.g. learn good conversation skills or how to have welcoming body language). Adopt a “the more, the merrier” attitude instead of excluding people or judging people before you’ve had a chance to know them better. Initiate social contact and be the person to organize or bring people together instead of just waiting around or tagging along. Make sure that you give equal time to listening and speaking, and give people a chance to talk about themselves so that they feel included. Help create a positive social atmosphere by being attentive to people’s emotional needs and encouraging anyone who isn’t feeling involved to engage and share. Do not spread negativity by getting into useless arguments, contentious debates that go nowhere, or criticizing people inappropriately. Think more carefully about the impact that your words/behaviors will have on people beforehand, and take responsibility for mending the relationship when you hurt someone or betray their trust. Anger, hatred, anxiety, or fear of intimacy are personal obstacles to relationships that you need to work on and overcome through introspection and self-correction (and therapy, if necessary). "
Fe,"Powerful Xx understands that sensitivity and compassion are necessary for improving society because you can only solve social problems when you are aware of how people suffer and take action to alleviate it. Powerful Xx knows that when people feel respected and heard, they are much more willing to participate and contribute their efforts. “A happy worker is a productive worker” and Xx prioritizes this strategy when managing relationships/groups because it builds trust and unity, reminding us that we’re all in it together."
Fe,"Focus on commonalities rather than harping on differences. Treat people as equals and all deserving of care. Ask not what you can get from people but instead what you can give them. Lend a helping hand without asking for something in return. Join a moral cause and encourage others to contribute. Express empathy to people who are in pain and offer your support. Always try to understand where someone is coming from in order to connect with their experience, and ask questions and investigate as necessary instead of dismissing or presuming to know how they feel. When disagreeing, take time to hear the other side out and work to find middle ground instead of digging deeper trenches. Learn better emotional intelligence and how to de-escalate negative emotions during tense or difficult conversations. Understand that being human means having flaws and imperfections, so be accepting of them and have compassion for yourself and others, because relationships run more smoothly when people remain open and trusting rather than defensive and fearful. Resist any urge to coerce or manipulate people into giving you what you want because healthy relationships cannot be unequal and exploitative. Heed any feedback or criticism that you receive about how to be more attentive, considerate, and compassionate."
Ti,"Without sharing of yourself in a way that benefits others, it’s hard to connect with people and develop a strong social support system, which makes you more susceptible to suffering the ill-effects of loneliness and isolation. People with underdeveloped Xx tend to undervalue relationships, underestimate the benefits of relationships, and have difficulty forming strong relationship bonds, so they live life in a very self-centered way, unaware of or ungrateful for all the support that they get from the rest of society"
Ti,"Without being inclusive and fostering a sense of belonging in people, society is much more likely to be chaotic and fragmented as everyone only cares about their own needs and concerns, and this increases the chance of conflict/war. People with underdeveloped Xx often have trouble understanding the ripple effects of their actions on others or society at large, either not caring or not realizing how they really impact other people."
Ti,"Without compassion and cooperation, society would be a rather dark and alienating place, especially for those at the bottom of the social hierarchy through no fault of their own. People with underdeveloped Xx have trouble really seeing others and feeling compassion for their suffering, and they find it difficult to cooperate well due to being unwilling/unable to compromise."
Se,"Xx is motivated by a “Just do it!” attitude, so XXXXs are driven to maintain a steady stream of positive feedback from the environment, quick to respond to novelty, intrigue, or changes. They tend to be expressive, energetic, proactive, interactive, and resilient, quick to get engrossed in a new/fun experience and also quick to move on once a situation is closed or exhausted. They are generally admired for their boldness or adventurousness when at their best."
Ne,"Xx is motivated by a “That’s a great idea!” attitude, so XXXXs are driven to explore interesting ideas and possibilities, displaying a sense of excitement/urgency when they want to pursue a new possibility or bring a good idea to fruition. They tend to be imaginative, inventive, optimistic, and easygoing, wanting to maintain the freedom to go where ideas go. They are generally admired for their good humor or creativity when at their best."
Te,"Xx is motivated by a “See a problem, solve the problem” attitude, so XXXXs are very alert to setbacks and want to resolve them as expediently as possible, often offering up useful information if they like you but easily frustrated/critical when seeing signs of inefficiency. They tend to be determined, persevering, formidable, and competitive in going after the results they desire. They are generally admired for their fortitude or leadership power when at their best."
Fe,"Xx is motivated by a “We’re in it together” attitude, so XXXXs are driven to maintain good standing in their relationships and instinctively smooth out social discord, often influencing social situations to maximize social rewards. They tend to be amiable, helpful, attentive, and supportive, willing to go the extra mile to ensure that people feel at ease. They are generally admired for their compassion or people skills when at their best."
Si,"Xx is motivated by a “Tried-and-true is better for you” attitude, so XXXXs are driven to stick with what they know and love and cherish, often relying on knowledge/methods that have already been proven reliable. They tend to be steadfast, dutiful, observant, and capable, taking quiet pride in attending to details/discrepancies that others might ignore/overlook. They are generally admired for their responsible or conscientious attitude when at their best."
Ni,"Xx is motivated by a “Serious matters only” attitude, so XXXXs are driven to reflect on underlying implications, often discovering good direction through visualizing potential. They tend to be perceptive, insightful, intense, and focused, taking quiet pride when they finally reach a deeper understanding of what is most important to attend to. They are generally admired for their insight or conviction when at their best."
Ti,"Xx is motivated by a “Just the facts” attitude, so XXXXs are driven to dissect and systematize information in order to understand how to best solve/avoid/prevent problems, formulating reliable principles for sensible and coherent action. They tend to be investigative, critical, dispassionate, and self-sufficient in trusting completely in their own judgment. They are generally admired for their rationality or calm problem solving skills when at their best."
Fi,"Xx is motivated by a “To thine own self be true” attitude, so XXXXs are driven to honor their feelings and act according to their strong moral instincts, often seeking to preserve their dignity or protect the integrity of anyone they feel responsible for. They tend to be gentle, empathetic, just, and honorable, and willing to buck the system in order to live on their own terms. They are generally admired for their sincerity or integrity when at their best."
Se,"When Xx and Xx are well-aligned, a person is assertive in pursuing their goals, very adaptable in working around environmental obstacles and taking advantage of favorable conditions. When Xx and Xx are misaligned, a person tends to overlook deeper meaning or misinterpret implications, prone to aimlessness or impulsivity that is long term counter-productive."
Ne,"When Xx and Xx are well-aligned, a person is capable of carrying out their good ideas and creating a sense of progress, very resourceful in turning around problems or setbacks. When Xx and Xx are misaligned, a person tends to be scattered or miss important details, sabotaging themselves with carelessness or often making unforced/repeated errors."
Te,"When Xx and Xx are well-aligned, a person sets the right objectives and achieves them competently, naturally leading the charge in efficiently removing obstacles and problems. When Xx and Xx are misaligned, a person tends to set the wrong objectives (due to lack of nuanced reflection) or chooses the wrong methods of reaching them (due to believing that the end justifies the means)."
Fe,"When Xx and Xx are well-aligned, a person accurately assesses the needs of everyone involved, very compassionate and capable in resolving people problems. When Xx and Xx are misaligned, a person tends to be socially insecure/inept and easily misunderstands people, trying to influence social situations with ineffective strategies that later blow up in their face (due to grossly miscalculating cause and effect)."
Si,"When Xx and Xx are well-aligned, a person reliably carries out their tasks and duties in a detailed and thorough manner, often already knowing the best methods for handling logistics and implementation. When Xx and Xx are misaligned, a person tends to be too stubborn, narrow-minded, or risk-averse, unable to discover new or better ways because of only seeing/accepting one preexisting/prescribed way."
Ni,"When Xx and Xx are well-aligned, a person has lofty vision, very focused on actualizing a meaningful/beneficial goal, mission, or ideal. When Xx and Xx are misaligned, a person tends to be too limited/narrow in vision or unrealistic in their expectations, too blind to see that what they are pursuing is infeasible or will not lead to a positive outcome (perhaps due to overlooking some important facts and details)."
Ti,"When Xx and Xx are well-aligned, a person always seeks to learn the right knowledge for resolving problems skillfully, and their self-sufficient mindset lends itself well to fair and impartial decision making. When Xx and Xx are misaligned, a person tends to be too reductive in judgment, worsening rather than resolving problems because of reflexively dismissing other factors or viewpoints that need to be taken into consideration."
Fi,"When Xx and Xx are well-aligned, a person confidently influences the world to be more just, very passionate about creating conditions for everyone to flourish. When Xx and Xx are misaligned, a person always takes everything much too personally such that they get trapped by their own negative feelings, often engaging in futile behavior or getting negative results because of not being able to transcend the narrow confines of their own experience."
Se,"Xx often desires pleasurable engagement, which can make a person quite reactive against unsatisfying or tedious situations. Xx types tend to value boldness and adventurousness, so they can be reactive against those who seem cowardly or passive."
Ne,"Xx often desires mental stimulation, which can make a person quite reactive against repetitive or monotonous situations. Xx types tend to value creativity and inspiration, so they can be reactive against those who seem narrow-minded or pessimistic."
Te,"Xx often desires rational expediency, which can make a person quite reactive against ambiguous or disorderly situations. Xx types tend to value power and efficiency, so they can be reactive against those who seem weak or lazy.  "
Fe,"Xx often desires social harmony, which can make a person quite reactive against inequitable or contentious situations. Xx types tend to value being considerate and respectful, so they can be reactive against those who seem selfish or impertinent."
Si,"Xx often desires material security, which can make a person quite reactive against disruptive, new, unknown, or risky situations. Xx types tend to value authority and precedence, so they can be reactive against those who seem unreliable or improper."
Ni,"Xx often desires meaningful purpose, which can make a person quite reactive against unpredictable or pointless situations. Xx types tend to value life calling and long term implications, so they can be reactive against those who seem fickle or short-sighted."
Ti,"Xx often desires factual analysis, which can make a person quite reactive against confused or complicated situations. Xx types tend to value being skilled and clear-headed, so they can be reactive against those who seem ignorant or irrational."
Fi,"Xx often desires honor and integrity, which can make a person quite reactive against unethical or infringing situations. Xx types tend to value being just and virtuous, so they can be reactive against those who seem callous or corrupt."
Se,"As main characters, Xx doms are usually bold or heroic, they move things along and face down challenges, they are easily triggered by being told that something “has never been done”. XXXXs tend to be more concerned about achieving personal glory through skill (Ti-aux), whereas XXXXs tend to be more concerned about living life in a way that is true to what they believe is right (Fi-aux). As minor characters, Xx doms are often the ones who are playful or adventurous, perhaps providing a distraction or tension release when things get too serious. "
Ne,"As main characters, Xx doms are usually hopeful or aspirational, they think up good ideas and push for change/progress, they don’t like to be told that something is “impossible”. XXXXs tend to be more concerned with wanting recognition for their innovation (Ti-aux), whereas XXXXs tend to be more concerned about advocating for change along their personal values (Fi-aux). As minor characters, Xx doms are often the ones who are humorous or eccentric, perhaps brainstorming interesting ideas or providing comic relief when things get too stressful. "
Te,"As main characters, Xx doms are usually influential or determined, they strive to possess power and often relied upon for leadership or organization, they don’t like when inefficiency gets in the way of plans. XXXXs tend to be more concerned about maintaining the status quo and defending against loss of power (Si-aux), whereas XXXXs tend to be more long-term devoted to carrying out a grand vision of success (Ni-aux). As minor characters, Xx doms are often the ones who provide help in desperate times (though they often expect something big in return), perhaps providing the strategy for reaching a goal expediently. "
Fe,"As main characters, Xx doms are usually helpful or nurturing, they keep an eye on everyone, they don’t like when people are left behind or put down. XXXXs tend to be more practical in offering advice or support to address specific conflict situations (Si-aux), whereas XXXXs tend to be more idealistic in their goals for how to make people, relationships, or society better overall (Ni-aux). As minor characters, Xx doms are often the ones who step up to offer moral and emotional support, perhaps providing the needed confidence boost to reach the end goal. "
Si,"As main characters, Xx doms are usually dutiful or dependable, they matter-of-factly point out exactly what’s wrong and humbly do their part, they don’t like being the center of attention or sticking their neck out without good reason. XXXXs tend to be more concerned with adhering to important rules and principles (Te-aux), whereas XXXXs tend to be more concerned with addressing practical social/relationship problems (Fe-aux). As minor characters, Xx doms are often found in assisting roles doing the dirty work that no one else wants/likes to do, perhaps providing the necessary caution and logistical support for reaching a goal through the proper channels. "
Ni,"As main characters, Xx doms are usually earnest or intense, they observe situations for a long time or go on long personal/discovery quests, they don’t like leading or taking action until the bigger picture becomes more clear and predictable. XXXXs tend to be more concerned with figuring out how to live life in a way that allows them to feel on top of every contingency (Te-aux), whereas XXXXs tend to be more concerned with figuring out how to make a unique and positive contribution to society (Fe-aux). As minor characters, Xx doms are often the ones who are quiet but make the occasional insightful or well-timed comment, perhaps providing a change of perspective for tackling a problem with fresh eyes. "
Ti,"As main characters, Xx doms are usually solitary or fact-finding, they come and go as they please and tend to possess self-sufficient skill sets, they don’t like getting entangled in drama or feeling obligated to people. XXXXs tend to be more concerned with quick and practical problem solving (Se-aux), whereas XXXXs tend to be more concerned with brainstorming possibilities for the best solution (Ne-aux). As minor characters, Xx doms are often geeks or lone wolves who help out when they feel like it (though it might take much reasoning with them), perhaps providing very specific skills for overcoming a major obstacle. "
Fi,"As main characters, Xx doms are usually free-spirited or romantic, they care about justice and making things right, they don’t like insensitive behavior or seeing/feeling helplessness. XXXXs tend to be more concerned with finding their way to a place where they can live freely (Se-aux), whereas XXXXs tend to be more concerned with imagining/pursuing romantic possibilities (Ne-aux). As minor characters, Xx doms are often in roles that embody moral commentary, perhaps providing the “heart” or moral compass during important decision making. "
Se,"shallow judgmental bullies who prey upon the weak out of boredom, greed, or momentary displeasure"
Ne,"cunning opportunists or tricksters who manipulate situations to their own advantage "
Te,"whiny control-freaks who abuse their position of power to exploit anyone that possesses something they want (and they usually want whatever they can’t have)"
Fe,"two-faced backstabbers who pretend to be onboard but sow destruction covertly, usually through emotional manipulation or ganging up on whoever they believe deserves a rebuke"
Si,"human-walls who slow down or halt progress by throwing up a series of infuriating bureaucratic obstacles that suck up everyone’s precious time and energy"
Ni,"pied pipers who lead people astray through strategic deception or persuading everyone to devote themselves to an idea/ideal that sounds good (but only in theory)"
Ti,"abusive asshole whose sole purpose in life is to tear down people’s self-esteem and make everyone feel like shit (as a means to fill their own bottomless emotional void)"
Fi,"childish imp who’s out to prove something to themselves about whether they have the ability/power to confront a challenge or redress an old wound that triggers their low self-esteem, and their destructiveness usually comes in the form of irrational vindictiveness or senseless collateral damage"
Se,"Due to Xx, XXXXs generally want others to be easygoing, to behave in ways that display a carefree and fun-loving attitude. Naturally attentive to interesting or new experiences, XXXXs tend to connect with others through sharing enjoyment of physical activities and finding practical ways to be helpful."
Se,"Potential Problems: Overindulging Xx can make you too careless in attitude, prone to casually dismissing important issues until they suddenly seem insurmountable. This can result in the other person feeling as though you are not taking the relationship seriously enough or feeling uncertain about how committed you really are (thereby unwilling to commit energy to you in return)."
Ne,"Due to Xx, XXXXs generally want others to be open-minded, to behave in ways that foster optimism and adventurousness. Naturally attentive to positive possibilities, XXXXs tend to dream big and look for creative ways to make the most out of life."
Ne,"Potential Problems: Overindulging Xx can make you too unrealistic about what is possible in a relationship, prone to overestimating the positives and downplaying the negatives, perhaps continually kicking important negative issues down the road until they become unmanageable. This can result in the other person feeling as though you are never truly content with things as they are or that you cannot be relied upon to address relationship issues carefully. "
Si,"Due to Xx, XXXXs generally want others to be predictable, to behave in ways that are familiar and to be consistent with what they consider to be important rules of conduct. Naturally attentive to practical details, XXXXs tend to be careful and thoughtful in how they take care of people, often working humbly behind-the-scenes to serve people’s practical needs."
Si,"Overindulging Xx can make you too irrational in fussing over people unnecessarily or nitpicking their behavior whenever you believe that they do not conform with your expectations. This can result in them feeling frustrated or smothered by the rules you impose."
Ni,"Due to Xx, XXXXs generally want others to be forward-thinking, to behave in ways that care about implications and longer term vision. Naturally wanting a sense of purpose in life, XXXXs tend to take relationships quite seriously and do not commit themselves lightly, often attuned to what seems missing/lacking in a relationship."
Ni,"Overindulging Xx can breed perfectionism, perhaps tempted to mold a person or improve a relationship to match your vision while failing to show proper appreciation for the person as they are, thus easily blindsided when the reality of them eventually shows itself. This can result in the other person feeling as though you are too demanding or disgruntled, unable to really acknowledge and accept them, even tiring them out with your unreasonably high expectations."
Te,"Due to Xx, XXXXs generally want others to be tough-minded, to behave in ways that show determination in overcoming setbacks and producing good results. Naturally attentive to efficiency, XXXXs tend to be assertive and responsible, willing to sacrifice in order to achieve the goals they believe in."
Te,"Overindulging Xx can make you excessively critical of people’s shortcomings, failing to appreciate people’s individuality because of being too focused on harshly judging what they can/can’t do. This might result in the other person feeling unappreciated or misunderstood, unable to feel how much you really care because you express it in entirely the wrong way (i.e. injuring their pride)."
Fe,"Due to Xx, XXXXs generally want others to be agreeable, to behave in ways that facilitate friendliness and cooperation. Naturally attentive to people’s feelings, XXXXs tend to be kind and compassionate, often willing to go the extra mile to help someone in need or offer emotional support."
Fe,"Overindulging Xx can make you too insecure in relationships because of not setting appropriate emotional boundaries. You might: give/sacrifice more than you should (unequal relationship), become oversensitive to criticism, get desperate for agreement or affirmation, act out inconsistently/hypocritically when your feelings get the better of you, or overstep into issues that shouldn’t concern you. This can result in the other person feeling uneasy, smothered, or confused about what it is you really want from them."
Ti,"Due to Xx, XXXXs generally want others to be rational, to behave in ways that avoid causing problems unnecessarily. Naturally attentive to factual accuracy, XXXXs tend to be very independent and approach people matter-of-factly, often learning from past problems to devise easy and straightforward formulas for socializing."
Ti,"Overindulging Xx can make you disconnected from the flow of feelings and emotions that arise during social interaction, perhaps relying too much on reductive formulas about how to “fix” things, perhaps unable to address people’s deepest feelings and concerns. This can result in the other person feeling dismissed, disrespected, or not wanting to invest further time and energy into the relationship when you give the appearance of being emotionally unavailable or closed-off."
Fi,"Due to Xx, XXXXs generally want others to have integrity, to behave in ways that show sensitivity to personal boundaries and moral preferences. Naturally attentive to individual needs, XXXXs tend to be loyal and devoted once they commit themselves to a relationship, often doing whatever they can to protect and defend their loved one’s interests."
Fi,"Overindulging Xx can make you ineffectual in a relationship because of focusing too much on differences or disagreements, perhaps: too easily trapped in your own subjectivity, too needy for validation of your identity/uniqueness, too defensive about your beliefs and preferences, dwelling too long in your grievances (unforgiving), or too focused on your own feelings to see the truth about the other person. This can result in them feeling unseen or unable to connect with you, as though speaking over each other instead of truly communicating."
Se,"responds to novel sensory stimuli; maximizes hands-on engagement and encourages adaptability to change"
Ne,"envisions interesting possibilities and actualizes good ideas; maximizes an open-minded and hopeful attitude"
Si,"compares and contrasts concrete details; prioritizes past learning and maximizes stability through familiarity"
Ni,"speculates about underlying essence; visualizes implications to maximize sense of forward direction"
Te,"makes judgments/decisions based on empirically constructed rules, labels, categories; maximizes efficiency "
Fe,"makes judgments/decisions based on emotional impact; maximizes emotional and relational harmony"
Ti,"makes judgments/decisions based on simple cause and effect formulas; maximizes precision in problem solving"
Fi,"makes judgments/decisions based on feelings of congruency; maximizes alignment between feelings and behavior"
Si,"Xx is a function drawn to the concrete and specific details of any information presented. This leads to carefully moderated responses to questions or tasks. People with this preference believe in economy of effort, that performing a task consistently and persistently now will conserve the energy that otherwise would have to be spent later to correct mistakes. Because they are pulled to immediate concrete information, they often seem very realistic."
Se,"Xx is expressed in quick-paced reporting in factual, pragmatic terms. Often pulled toward action-oriented responses, individuals with this preference seem efficiently forceful about getting the job done. After giving thorough attention to the specifics of any given situation, such people often have a good-natured response that suggests that whatever the problem, it can be solved."
Ni,"Xx is pulled toward the future and toward possibilities. This function is like an inner eye focused on what could be, rather than what is. As a consequence, individuals with this preference often seem scholarly or studious, as if looking toward the center of a problem. This tendency may show up as, for example, a knack for summarizing a long conversation in one sentence. Interpersonally, individuals who prefer Xx are seen by others as calm and capable of concentrated attention."
Ne,"Xx has an enormous appetite for external possibilities. This leads to quick pursuit of ideas in conversations, fast-paced search for information, and interpersonal style that seems to adapt at will. Because individuals with this preference are drawn to many different experiences, they often have a resource bank of ideas to call on to aid them in discussions. This function exerts a fun-loving attitude—an interpersonal style of active engagement in whatever is going on."
Ti,"Xx is a pattern often experienced by others as a detached curiosity. This curiosity leads those who prefer it toward active but quiet analysis of nearly everything. Reveling in the complexity required to deal with the world, they are frequently seen as independent minded (their model of how things work may be very different from mainstream thought, but XXXXs have their reasons). Interpersonally, they may express skeptical acceptance of the world around them."
Te,"Xx is a mental pattern of actively analyzing experience and information, and expressing this analysis in an energetic fashion. Individuals with this preference are often seen as having a plan, or model, to help adapt to and manage the world around them. Resourceful with ideas and suggestions, XXXXs are often fluent critics and have ideas on how to improve just about anything put before them."
Fi,"Xx is often exhibited in quiet, deferent attitudes. Individuals expressing these preferences seem sensitive to the environment around them. Because the first response of Xx is to accept the other person, a great deal of energy is spent helping the other to be comfortable. Given the inclination to focus on values as a basis for reacting to events, individuals with this preference seem unconventional to those with a focus on logical answers."
Fe,"Xx is expressed in an energetic, cooperative fashion with attention to social interaction in sympathetic and friendly behaviors. Often given to expressive engagement with others, when Xx is being used it appears to be drawn to others seeking inclusion in social affairs. While given to a cooperative spirit, individuals with this preference act quickly to address issues they see, believing they can achieve an idealistic goal that could help improve the human condition."
Si,"thoughtful realist, unhurried, tests ideas with facts, careful/calm/steady, consistent/reliable, fastidious, loyal, unassuming; Under Stress: stingy, unemotional, overly conventional"
Se,"action-oriented realist, practical, reliable, forceful, thorough, excitable, good-natured, knows who/what/when/where, good at easing tensions; Under Stress: unscrupulous, unkind, opportunistic, rigid"
Ni,"values knowledge for its own sake, introspective, scholarly, likes ideas and theory, evaluates motives, sees to the heart of important problems, appreciative, formal, values intellectual matters; Under Stress: withdrawn, retiring, dreamy, hardheaded, reserved"
Ne,"action-oriented innovator, adaptable, verbally fluent, resourceful, active/enthusiastic, friendly/jolly, uninhibited, likes rapid tempo; Under Stress: distracted, impulsive, unrealistic in expectations, hasty, noisy"
Ti,"reflective reasoner, quiet, detachedly curious, analyzes inwardly, organizes ideas, values intellectual matters, seen as independent and autonomous, often critical and skeptical, original and imaginative, often unconventional; Under Stress: rebellious, nonconforming, restless, self-centered, defensive"
Te,"action-oriented thinker, critical, resourceful, proactive and systematic, has a basic formula about the world, energetic, prefers a rapid pace, reasonable and analytical, expressive, fluent, mentally versatile, high aspirations; Under Stress: arrogant and condescending, reckless and aggressive, opportunistic"
Fi,"reflective harmonizer, quiet, deferent, cares about values and people, artistic (aesthetic), introspective, unusual or unconventional thinking, arouses liking and acceptance in people, sensitive; Under Stress: irritable, touchy, suspicious, undependable"
Fe,"action-oriented cooperator, sympathetic, sociable and friendly, empathetic, affiliative, warm, wants inclusion, outgoing, gregarious, idealistic, facially expressive, energetic; Under Stress: impulsive, hasty, sentimental, fussy, self-dramatizing"
Si,"Xx (Xx) tunes you in to the chaos, unpredictability, and unknowability of the concrete world, leading you to value whatever few signs you can find that have stable meaning. For example, the stripes of tabby cats might hold a particular meaning for you, and you might come to treasure that. As an epistemological perspective, Xx leads you to view anything from outside a familiar context as dangerous and untrustworthy. You are in tune with the fact that nearly all possibilities lead to destruction. For example, if you’re designing an airplane, nearly all combinations of the variables fail. Of the possible combinations of wingspan, wing placement, wing shape, fuselage shape, and so on, there is only a tiny subset that make an aerodynamically workable plane–and then only if you get a whole lot of other things just right, too. All of life is like that, only much more complicated. We live only in the small islands of the world that we’ve grown up with and are suited to us. And we can’t possibly know why these small islands are relatively safe. As an ethical perspective, Xx leads you to protect the integrity of the things and signs that we depend on. This usually takes the form of setting up barriers against the unpredictable. For example, saving for a rainy day (hardships come at unpredictable times) or inspecting buildings for fire safety (so people can trust that “being inside a building” is a sign of safety against the elements). Within these barriers, where all is trustworthy and familiar, we can survive and enjoy what is precious to us–for a while."
Ni,"Xx (Xx) focuses on what is inexpressible–the incommensurable and chaotic things that exist outside of any conceptual framework. For example, what do you hear in the theme-and-variations movement of Beethoven’s String Quartet Op. 131? There is a meaning there, but you can’t put it into words. Any attempt to put it into words will result in only a tawdry parody of the reality. Better to remain silent. As an epistemological perspective, Xx leads you to view all signs as meaningless or even deceptive, not necessarily connected to what they’re supposed to represent. The true reality is something that exists beyond all signs and appearances, and can only be apprehended by a kind of direct intuition. To learn truth, one must learn to see through appearances–to make contact with a reality that cannot be seen or said. As an ethical perspective, Xx leads you to hold yourself apart from and unaffected by the meanings that others attach to words and events–to keep your own vision pure and pursue your own path regardless of evidence, reasons, or the opinions of others."
Ti,"Xx (Xx) makes sense of the world by apprehending it in terms of effects emerging from a cause, or a harmony of elements. For example, the way a beautifully made desk appears to emerge from a single idea. As an epistemological perspective, Xx leads one to trust only things that you understand first-hand for yourself, preferably through direct, hands-on interaction. You must see for yourself how a given thing or subject makes sense. Knowledge must emerge from the concrete reality itself, not from preconceived categories or criteria, and the search for knowledge must follow wherever logic and the subject matter lead, regardless of how people feel about it. As an ethical perspective, Xx leads you to do what is best for the system regardless of reward or gain or social conventions that define right and wrong behavior. For example, the sense of “natural law” that guides Clint Eastwood to do what needs doing in Old West towns regardless of the law."
Fi,"Xx (Xx) makes sense of the world by relating everything to universal human needs and callings. For example, understanding the actions of a bully as the expression of an unmet need to be connected and feel important. Understanding that, we can see the bully without judgement: we can see him as a living being not so different from ourselves, seeking to fulfill his needs just as we do, but in a way that creates unnecessary conflict. As an epistemological perspective, Xx leads you to take whatever a person thinks or believes as an expression of that person’s unique nature–not to criticize it because it fails to live up to some externally imposed criteria like whether or not it’s “logical” or “appropriate”. As an ethical perspective, Xx leads you to act out of empathy regardless of the social status or “deservingness” of the beneficiary. Xx leads you to view all living things as equal in value, all needing to thrive in interpersonal harmony without giving up any of their uniqueness"
